SalesOrderID,SalesOrderDetailID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,
71774,110562,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71774,PO348186287,10-4020-000609,29847,1092,1092,CARGO TRANSPORT 5,NULL,880.3484,70.4279,22.0087,972.785,NULL,1,836,356.898,0.00,356.898000,E3A1994C-7A68-4CE8-96A3-77FDD3BBD730,2008-06-01 00:00:00.000
71774,110563,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71774,PO348186287,10-4020-000609,29847,1092,1092,CARGO TRANSPORT 5,NULL,880.3484,70.4279,22.0087,972.785,NULL,1,822,356.898,0.00,356.898000,5C77F557-FDB6-43BA-90B9-9A7AEC55CA32,2008-06-01 00:00:00.000
71776,110567,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71776,PO19952192051,10-4020-000106,30072,640,640,CARGO TRANSPORT 5,NULL,78.81,6.3048,1.9703,87.0851,NULL,1,907,63.90,0.00,63.900000,6DBFE398-D15D-425E-AA58-88178FE360E5,2008-06-01 00:00:00.000
71780,110616,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,4,905,218.454,0.00,873.816000,377246C9-4483-48ED-A5B9-E56F005364E0,2008-06-01 00:00:00.000
71780,110617,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,2,983,461.694,0.00,923.388000,43A54BCD-536D-4A1B-8E69-24D083507A14,2008-06-01 00:00:00.000
71780,110618,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,6,988,112.998,0.40,406.792800,12706FAB-F3A2-48C6-B7C7-1CCDE4081F18,2008-06-01 00:00:00.000
71780,110619,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,2,748,818.70,0.00,1637.400000,B12F0D3B-5B4E-4F1F-B2F0-F7CDE99DD826,2008-06-01 00:00:00.000
71780,110620,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,1,990,323.994,0.00,323.994000,F117A449-039D-44B8-A4B2-B12001DACC01,2008-06-01 00:00:00.000
71780,110621,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,1,926,149.874,0.00,149.874000,92E5052B-72D0-4C91-9A8C-42591803667E,2008-06-01 00:00:00.000
71780,110622,2,2008-06-01 00:00:00.000,2008-06-13 00:00:00.000,2008-06-08 00:00:00.000,5,0,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,NULL,38418.6895,3073.4952,960.4672,42452.6519,NULL,1,743,809.76,0.00,809.760000,8BD33BED-C4F6-4D44-84FB-A7D04AFCD794,2008-06-01 00:00:00.000
